scientific name,English name,number of people seeing species
Francolinus francolinus,Black Francolin,13
Francolinus pictus,Painted Francolin,1
Francolinus pintadeanus,Chinese Francolin,2
Francolinus pondicerianus,Gray Francolin,17
Francolinus gularis,Swamp Francolin,1
Dendroperdix sephaena,Crested Francolin,11
Bambusicola fytchii,Mountain Bamboo-Partridge,1
Bambusicola thoracicus,Chinese Bamboo-Partridge,2
Bambusicola sonorivox,Taiwan Bamboo-Partridge,1
Gallus gallus,Red Junglefowl,20
Gallus sonneratii,Gray Junglefowl,3
Gallus lafayettii,Sri Lanka Junglefowl,2
Gallus varius,Green Junglefowl,2
Peliperdix coqui,Coqui Francolin,3
Peliperdix albogularis,White-throated Francolin,0
Peliperdix schlegelii,Schlegel's Francolin,0
Peliperdix lathami,Latham's Francolin,0
Scleroptila levaillantii,Red-winged Francolin,1
Scleroptila streptophora,Ring-necked Francolin,0
Scleroptila finschi,Finsch's Francolin,0
Scleroptila gutturalis,Orange River Francolin,1
Scleroptila afra,Gray-winged Francolin,2
Scleroptila psilolaema,Moorland Francolin,3
Scleroptila shelleyi,Shelley's Francolin,5
Ithaginis cruentus,Blood Pheasant,3
Lophophorus impejanus,Himalayan Monal,4
Lophophorus sclateri,Sclater's Monal,0
Lophophorus lhuysii,Chinese Monal,0
Lerwa lerwa,Snow Partridge,2
Tetraophasis obscurus,Verreaux's Partridge,0
Tetraophasis szechenyii,Szechenyi's Partridge,0
Tragopan melanocephalus,Western Tragopan,0
Tragopan satyra,Satyr Tragopan,0
Tragopan blythii,Blyth's Tragopan,0
Tragopan temminckii,Temminck's Tragopan,0
Tragopan caboti,Cabot's Tragopan,0
Syrmaticus reevesii,Reeves's Pheasant,0
Syrmaticus soemmerringii,Copper Pheasant,0
Syrmaticus mikado,Mikado Pheasant,1
Syrmaticus ellioti,Elliot's Pheasant,0
Syrmaticus humiae,Hume's Pheasant,1
Chrysolophus pictus,Golden Pheasant,1
Chrysolophus amherstiae,Lady Amherst's Pheasant,1
Phasianus colchicus,Ring-necked Pheasant,52
Crossoptilon crossoptilon,White Eared-Pheasant,0
Crossoptilon mantchuricum,Brown Eared-Pheasant,0
Crossoptilon auritum,Blue Eared-Pheasant,1
